Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Italy,ITA,63.96361923,65.64665222,66.46244812,66.2975235,66.65395355,66.05718231,66.06877136,65.06170654,63.61693954,63.38032913,62.87290955,63.01705933,,64.92492453
Jamaica,JAM,19.06011009,18.80374908,,23.54289055,23.41415977,26.81892014,26.1753006,28.71346092,27.11564064,,26.87916946,,,24.50260014
Jordan,JOR,37.37744141,37.08366013,38.29845047,41.1123085,41.76881027,37.28718185,36.63544083,42.39115143,,,37.38912964,36.25936127,31.70549011,38.56029358
Kazakhstan,KAZ,,57.6170311,,,,45.74032974,48.14694977,50.98097992,49.81132126,48.20446014,45.83258057,46.1217308,49.56916046,49.05692291
Kenya,KEN,2.967420101,,,,4.040329933,,,,,,9.403039932,11.66246033,,7.018312573
Kyrgyz Republic,KGZ,42.58795929,43.58840942,42.92502975,46.68754959,44.30371094,42.12722015,41.31637955,43.94559097,47.63357925,46.26776886,47.33098984,45.8890419,43.65182877,44.55026913
Cambodia,KHM,3.38925004,5.679800034,7.316219807,9.1248703,11.77237988,13.9692297,14.89422989,,,,13.13883972,,13.13799953,9.910602421
"Korea, Rep.",KOR,91.69628143,97.03381348,101.8810196,104.0247574,104.2135162,102.7612686,100.4507065,96.63764191,94.37483215,93.4249115,93.26055908,93.7796936,,97.79491679
Kuwait,KWT,,,,,,,,,32.57492065,,,,,32.57492065
Latin America & Caribbean (excluding high income),LAC,27.48920059,29.93534088,32.40089035,35.71760178,36.67699051,37.18328094,39.74222946,40.7397995,41.96897125,43.5850296,44.67036057,46.42248917,46.68505859,38.04434872
Lao PDR,LAO,7.800360203,8.971770287,11.48069,13.27818966,16.34206009,16.58890915,17.75625992,17.60532951,18.95025063,18.30677032,18.10387993,17.20602989,15.72459984,15.1992083
Lebanon,LBN,44.1231308,44.10057831,46.91505051,48.86970901,48.97539139,48.3970108,49.73852158,45.6134491,46.02035141,42.86059189,38.54534912,38.19691086,38.14302826,45.19633706
Liberia,LBR,,,,,,9.322469711,,11.66734982,,,,,,10.49490976
St. Lucia,LCA,13.10389996,9.557920456,8.657959938,15.93791008,17.64817047,12.50395966,16.36488914,10.19258976,13.85441971,16.82720947,16.66865921,19.19936943,20.09276009,14.20974644
Latin America & Caribbean,LCN,30.67811012,33.05376816,35.41239166,38.62133026,39.78649139,40.63541031,43.37308121,44.48397827,45.76926041,47.45264053,48.63285828,50.40301132,50.64081955,41.52519433
Least developed countries: UN classification,LDC,4.888860226,5.33867979,5.767069817,6.398930073,7.306109905,8.12749958,8.675740242,8.916689873,9.132470131,9.183810234,9.492349625,9.761799812,9.847769737,7.749167442
Low income,LIC,5.428030014,5.762300014,6.203370094,6.650119781,7.185190201,7.844500065,8.090869904,8.536829948,8.630060196,8.988499641,8.936650276,8.73239994,8.784359932,7.582401673
Liechtenstein,LIE,,29.81715965,31.62594032,36.7309494,34.4449501,36.01831055,43.67509842,42.49668121,,37.4887085,33.54204178,35.02262115,,36.08624611
Sri Lanka,LKA,,,,,,16.34791946,15.24118042,17.15877914,18.93133926,19.28257942,19.7967205,18.85507965,18.96792984,17.9447997
Lower middle income,LMC,13.05432987,13.61581993,14.64871025,15.96105003,16.84761047,18.04578972,20.59390068,21.76777077,21.90224075,22.9706707,23.84756088,24.15719032,24.40527916,18.9510537
Low & middle income,LMY,17.84276962,18.75546074,19.78903961,20.93264008,21.95651054,23.16898918,24.91044044,26.23933983,27.12985992,29.73546982,30.93416977,31.70519066,32.13993073,24.42499002
Lesotho,LSO,3.655430079,3.862339973,,,,,,11.04553032,10.34125996,10.01181984,9.101949692,,,8.003054976
Late-demographic dividend,LTE,26.43424034,27.40892029,28.05425072,28.6878109,30.01579094,31.40703011,32.97174835,35.00102997,37.62990952,44.31393051,47.01979065,48.96315002,50.6125412,34.82563353
Lithuania,LTU,79.72981262,82.45317841,82.51583099,85.74508667,89.25216675,86.5725708,84.05558777,79.75163269,73.53320313,70.40061188,69.74053955,71.11852264,,79.57239532
Luxembourg,LUX,,10.33119965,,10.61182976,,18.2751503,,19.40740967,,,19.70735931,19.56393051,,16.31614653
Latvia,LVA,75.41919708,74.59651184,73.04329681,72.36354065,73.05489349,69.05104065,67.95346832,66.64354706,69.07659912,70.89794159,74.29988098,80.60481262,88.05742645,72.25039419
"Macao SAR, China",MAC,54.37659836,49.90465164,48.02510834,48.80892944,53.92982864,54.99766922,58.33364868,51.62553024,58.25014877,64.98700714,71.30509186,78.21598053,84.53794861,57.73001607
Morocco,MAR,11.75572014,12.36709023,11.90923023,13.06299973,13.5864296,14.47126961,16.2759304,19.34737015,22.5475502,25.25794029,28.35261917,31.95984077,33.75928879,18.40783254
Moldova,MDA,36.09843063,39.40245056,41.20458984,39.99850082,38.29285812,38.14535904,39.44804001,40.10863876,41.27716827,41.4896698,41.2134819,41.12171173,41.08351898,39.81674163
Madagascar,MDG,2.675930023,2.874520063,3.276170015,3.276380062,3.494810104,3.669960022,4.07118988,4.141550064,4.293769836,4.818580151,4.806190014,4.825389862,,3.852036675
Maldives,MDV,,,9.780790329,11.22494984,,,,,,14.4865799,,,,11.83077335
